subtipo_id;subtipo;tipo;tipo_id
1;Accesorio;Accesorios Tendido Aereo;1
2;Adhesivo;Adhesivos / Selladores;2
3;Sellador;Adhesivos / Selladores;2
4;MiniSplit;Aire Acondicionado;3
5;Portabarra;Aisladores;4
6;Prensabarra;Aisladores;4
7;Puntal;Apliques Jardin;5
8;Bidireccional Exterior;Apliques Pared;6
9;Bidireccional Interior;Apliques Pared;6
10;Decoracion;Apliques Pared;6
11;Embutir;Apliques Pared;6
12;Exterior;Apliques Pared;6
13;Cuadrada;Apliques Tortugas;7
14;Cuadrada LED;Apliques Tortugas;7
15;Oval;Apliques Tortugas;7
16;Oval LED;Apliques Tortugas;7
17;Rectangular LED;Apliques Tortugas;7
18;Redonda;Apliques Tortugas;7
19;Redonda LED;Apliques Tortugas;7
20;Controladores y Acc.;Arrancadores Compactos;8
21;Accesorio;Arrancadores Suaves;9
22;CON Proteccion;Arrancadores Suaves;9
23;SIN Proteccion;Arrancadores Suaves;9
24;Accesorio;Arrancadores Tubos;10
25;Automatico Tanque;Automaticos Nivel;11
26;Conversor / Aislador Galvanico;Automatismo;12
27;Encoder;Automatismo;12
28;Enlace Inalambrico;Automatismo;12
29;Lector de Codigo de Barras;Automatismo;12
30;Panel HMI;Automatismo;12
31;PC Industrial;Automatismo;12
32;PLC y Accesorios;Automatismo;12
33;Scada;Automatismo;12
34;Servomotor;Automatismo;12
35;Switch;Automatismo;12
36;Compacta;Balastos Electronicos;13
37;Tubo T10/12;Balastos Electronicos;13
38;Tubo T5;Balastos Electronicos;13
39;Tubo T8;Balastos Electronicos;13
40;Compacta;Balastos Mecanicos;14
41;Descarga;Balastos Mecanicos;14
42;Tubo T8;Balastos Mecanicos;14
43;Accesorio General;Bandejas Portacables;15
44;Alambre;Bandejas Portacables;15
45;Escalera;Bandejas Portacables;15
46;Escalera Accesorio;Bandejas Portacables;15
47;Escalera Smarttray;Bandejas Portacables;15
48;Escalera Smarttray Accesorio;Bandejas Portacables;15
49;Perfil;Bandejas Portacables;15
50;Perfil Accesorio;Bandejas Portacables;15
51;Perforada ;Bandejas Portacables;15
52;Perforada Accesorio;Bandejas Portacables;15
53;Flexible Aislada;Barras Cobre;16
54;Mecanizada;Barras Cobre;16
55;P.A.T.;Barras Cobre;16
56;Planchuela;Barras Cobre;16
57;Base Telefonica;Bases y Fichas Telefonicas;17
58;Ficha Telefonica;Bases y Fichas Telefonicas;17
59;Bateria 9V;Baterias;18
60;Gel Recargable;Baterias;18
61;Litio Recargable;Baterias;18
62;Accesorio;Borneras;19
63;Bakelita Bipolar;Borneras;19
64;Bakelita Tetrapolar;Borneras;19
65;Bakelita Tripolar;Borneras;19
66;Bakelita Unipolar;Borneras;19
67;Circuito Impreso;Borneras;19
68;Columna Alumbrado Publico;Borneras;19
69;PVC Divisible;Borneras;19
70;PVC Enchufable;Borneras;19
71;Accesorio;Bornes Modulares;20
72;CON Proteccion;Bornes Modulares;20
73;Conexion Resorte;Bornes Modulares;20
74;Conexion Tornillo;Bornes Modulares;20
75;Doble Piso;Bornes Modulares;20
76;Identificacion;Bornes Modulares;20
77;Portafusible;Bornes Modulares;20
78;Potencia;Bornes Modulares;20
79;Puesta a Tierra;Bornes Modulares;20
80;Triple Piso - Sensores;Bornes Modulares;20
81;Caja Colgante;Botoneras y Accesorios;21
82;Caja Colgante Acc.;Botoneras y Accesorios;21
83;Caja p/Botonera;Botoneras y Accesorios;21
84;Inalambrica;Botoneras y Accesorios;21
85;Instalacion Contra Incendio;Botoneras y Accesorios;21
86;Montaje DIN;Botoneras y Accesorios;21
87;Montaje Panel Acc.;Botoneras y Accesorios;21
88;Montaje Panel Metalica;Botoneras y Accesorios;21
89;Montaje Panel Plastica;Botoneras y Accesorios;21
90;AR111;Cabezales Iluminacion;22
91;Bipin G9;Cabezales Iluminacion;22
92;Dicroica 12V;Cabezales Iluminacion;22
93;Dicroica 220V;Cabezales Iluminacion;22
94;Edison Bulbo;Cabezales Iluminacion;22
95;Domiciliario;Cable Canales;23
96;Domiciliario Accesorio;Cable Canales;23
97;Industrial;Cable Canales;23
98;Industrial Accesorio;Cable Canales;23
99;Perfil Aluminio;Cable Canales;23
100;Pisocanal;Cable Canales;23
101;Pisocanal Accesorio;Cable Canales;23
102;Profesional;Cable Canales;23
103;Profesional Accesorio;Cable Canales;23
104;Accesorio;Cajas Capsuladas;24
105;Embutir;Cajas Capsuladas;24
106;Exterior;Cajas Capsuladas;24
107;Aluminio;Cajas Derivacion;25
108;Chapa;Cajas Derivacion;25
109;Plastica;Cajas Derivacion;25
110;Plastica LH;Cajas Derivacion;25
111;Accesorio;Cajas Din;26
112;Metalica Embutir;Cajas Din;26
113;Metalica Exterior;Cajas Din;26
114;Plastica Embutir;Cajas Din;26
115;Plastica Exterior;Cajas Din;26
116;Accesorio;Cajas Luz;27
117;Aluminio;Cajas Luz;27
118;Hierro Liviano;Cajas Luz;27
119;Hierro Pesado;Cajas Luz;27
120;Hierro Semipesado;Cajas Luz;27
121;Plastica;Cajas Luz;27
122;Plastica LH;Cajas Luz;27
123;Montante;Cajas Montantes;28
124;Caja Telefonica;Cajas Telefonicas;29
125;Accesorio;Campanillas;30
126;Domiciliaria;Campanillas;30
127;Inalambrica;Campanillas;30
128;Industrial;Campanillas;30
129;Sistema Canalis;Canalizacion Industrial;31
130;Accesorio;Caños Metalicos;32
131;Galvanizado;Caños Metalicos;32
132;Galvanizado Accesorio;Caños Metalicos;32
133;Hierro Liviano;Caños Metalicos;32
134;Hierro Semipesado;Caños Metalicos;32
135;Corrugado Metal;Caños Metalicos Flexibles;33
136;Corrugado Metal/PVC;Caños Metalicos Flexibles;33
137;Corrugado Metal/PVC Accesorio;Caños Metalicos Flexibles;33
138;Accesorio;Caños Pilar;34
139;Doble Aislacion;Caños Pilar;34
140;Accesorio;Caños Plasticos;35
141;Accesorio LH;Caños Plasticos;35
142;Extrapesado;Caños Plasticos;35
143;Semipesado;Caños Plasticos;35
144;Semipesado LH;Caños Plasticos;35
145;Accesorio;Caños Plasticos Flexibles;36
146;Corrugado PVC;Caños Plasticos Flexibles;36
