27044843;Gab.Met.IP65 GE 2015  200x150x120 HxAxP;GE 2015-12;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0
27044844;Gab.Met.IP65 GE 2520  250x200x120 HxAxP;GE 2520-12;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0
27044845;Gab.Met.IP65 GE 2520  250x200x160 HxAxP;GE 2520-16;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0
27044846;Gab.Met.IP65 GE 3025  300x250x120 HxAxP;GE 3025-12;27046767;Gab.Acc. Subp.Abis.Ciego  p/GE   3025;CTAE 3025;27040092;Gab.Acc. Herrajes p/Subp.Abis. Prof.12 x4u.;H 12;27040076;Gab.Acc. Sop.Reg.p/Riel  37- 53mm x10u.;PIE N 0;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044847;Gab.Met.IP65 GE 3025  300x250x160 HxAxP;GE 3025-16;27046767;Gab.Acc. Subp.Abis.Ciego  p/GE   3025;CTAE 3025;27040093;Gab.Acc. Herrajes p/Subp.Abis. Prof.16 x4u.;H 16;27040077;Gab.Acc. Sop.Reg.p/Riel  79-106mm x10u.;PIE N 1;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044848;Gab.Met.IP65 GE 3030  300x300x120 HxAxP;GE 3030-12;27046768;Gab.Acc. Subp.Abis.Ciego  p/GE   3030;CTAE 3030;27040092;Gab.Acc. Herrajes p/Subp.Abis. Prof.12 x4u.;H 12;27040076;Gab.Acc. Sop.Reg.p/Riel  37- 53mm x10u.;PIE N 0;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044849;Gab.Met.IP65 GE 3030  300x300x160 HxAxP;GE 3030-16;27046768;Gab.Acc. Subp.Abis.Ciego  p/GE   3030;CTAE 3030;27040093;Gab.Acc. Herrajes p/Subp.Abis. Prof.16 x4u.;H 16;27040077;Gab.Acc. Sop.Reg.p/Riel  79-106mm x10u.;PIE N 1;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044850;Gab.Met.IP65 GE 3030  300x300x210 HxAxP;GE 3030-21;27046768;Gab.Acc. Subp.Abis.Ciego  p/GE   3030;CTAE 3030;27040094;Gab.Acc. Herrajes p/Subp.Abis. Prof.21 x4u.;H 21;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044851;Gab.Met.IP65 GE 4030  400x300x120 HxAxP;GE 4030-12;27046769;Gab.Acc. Subp.Abis.Ciego  p/GE   4030;CTAE 4030;27040092;Gab.Acc. Herrajes p/Subp.Abis. Prof.12 x4u.;H 12;27040076;Gab.Acc. Sop.Reg.p/Riel  37- 53mm x10u.;PIE N 0;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044852;Gab.Met.IP65 GE 4030  400x300x160 HxAxP;GE 4030-16;27046769;Gab.Acc. Subp.Abis.Ciego  p/GE   4030;CTAE 4030;27040093;Gab.Acc. Herrajes p/Subp.Abis. Prof.16 x4u.;H 16;27040077;Gab.Acc. Sop.Reg.p/Riel  79-106mm x10u.;PIE N 1;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044853;Gab.Met.IP65 GE 4030  400x300x210 HxAxP;GE 4030-21;27046769;Gab.Acc. Subp.Abis.Ciego  p/GE   4030;CTAE 4030;27040094;Gab.Acc. Herrajes p/Subp.Abis. Prof.21 x4u.;H 21;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044854;Gab.Met.IP65 GE 4030  400x300x260 HxAxP;GE 4030-26;27046769;Gab.Acc. Subp.Abis.Ciego  p/GE   4030;CTAE 4030;27040095;Gab.Acc. Herrajes p/Subp.Abis. Prof.26 x4u.;H 26;27040078;Gab.Acc. Sop.Reg.p/Riel 135-221mm x10u.;PIE N 3;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044855;Gab.Met.IP65 GE 4545  450x450x120 HxAxP;GE 4545-12;27046770;Gab.Acc. Subp.Abis.Ciego  p/GE   4545;CTAE 4545;27040092;Gab.Acc. Herrajes p/Subp.Abis. Prof.12 x4u.;H 12;27040076;Gab.Acc. Sop.Reg.p/Riel  37- 53mm x10u.;PIE N 0;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
